phase,root,relative_path,size,mtime,sha1
pre,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad,sdk_key.dat,15,1784086101,65cc4c0b6cf9c56e2a2d801df1b99dc933db9991
pre,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad,gwy\sdk_key.dat,15,1784086101,65cc4c0b6cf9c56e2a2d801df1b99dc933db9991
pre,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\runtime\vmrp_win32\vmrp_win32_20220102\mythroad,atxllq.mrp,227114,1606964132,81477639dc548ac2ce8aa19c2e7b72c37cbecb90
pre,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\runtime\vmrp_win32\vmrp_win32_20220102\mythroad,box.mrp,50434,1238593282,643f2575dc9e8a56db7f6c570b382490bf889739
pre,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\runtime\vmrp_win32\vmrp_win32_20220102\mythroad,dsm_gm.mrp,41315,1578310632,be3a25f4311e891a923747b16c2eb404b5e4671d
pre,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\runtime\vmrp_win32\vmrp_win32_20220102\mythroad,gxrxd.mrp,200536,1239004740,c55f8e75249f66301cde942401dcf5205aededc6
pre,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\runtime\vmrp_win32\vmrp_win32_20220102\mythroad,lines.mrp,81244,1238593290,e465d335fe42c2eb41193ad466e0c8b0e20b2116
pre,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\runtime\vmrp_win32\vmrp_win32_20220102\mythroad,mpc.mrp,188194,1602576902,ea9973c6571b4ff8f5792f497fd3fdd2c496ddb2
pre,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\runtime\vmrp_win32\vmrp_win32_20220102\mythroad,QQDSM2007.mrp,113827,1268556802,b74d36467990c6096b9c6671e0cccf0b0a682866
pre,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\runtime\vmrp_win32\vmrp_win32_20220102\mythroad,sdk_key.dat,15,1784086101,65cc4c0b6cf9c56e2a2d801df1b99dc933db9991
pre,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\runtime\vmrp_win32\vmrp_win32_20220102\mythroad,shot.mrp,100742,1238593298,d6f752c8d3cff144207ba941dc4f26ff3d552df1
pre,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\runtime\vmrp_win32\vmrp_win32_20220102\mythroad,tetris.mrp,41327,1238593298,45d33270e308fa7918809c92592305b3800f2c88
pre,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\runtime\vmrp_win32\vmrp_win32_20220102\mythroad,gwy\sdk_key.dat,15,1784086101,65cc4c0b6cf9c56e2a2d801df1b99dc933db9991
pre,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\runtime\vmrp_win32\vmrp_win32_20220102\mythroad,system\gb16.uc2,2097152,1597460592,c692696bd21e6062713e22326fcd76331cd635d1
pre,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\runtime\vmrp_win32\vmrp_win32_20220102\fs\mythroad,sdk_key.dat,15,1784086101,65cc4c0b6cf9c56e2a2d801df1b99dc933db9991
pre,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\runtime\vmrp_win32\vmrp_win32_20220102\fs\mythroad,gwy\sdk_key.dat,15,1784086101,65cc4c0b6cf9c56e2a2d801df1b99dc933db9991
pre,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\runtime\vmrp_win32\vmrp_win32_20220102\wasm\dist\fs\mythroad,sdk_key.dat,15,1784086101,65cc4c0b6cf9c56e2a2d801df1b99dc933db9991
pre,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\runtime\vmrp_win32\vmrp_win32_20220102\wasm\dist\fs\mythroad,gwy\sdk_key.dat,15,1784086101,65cc4c0b6cf9c56e2a2d801df1b99dc933db9991
pre,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\runtime\vmrp_win32\mythroad,sdk_key.dat,15,1784086101,65cc4c0b6cf9c56e2a2d801df1b99dc933db9991
pre,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\runtime\vmrp_win32\mythroad,gwy\sdk_key.dat,15,1784086101,65cc4c0b6cf9c56e2a2d801df1b99dc933db9991
pre,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\runtime\vmrp_win32\fs\mythroad,sdk_key.dat,15,1784086101,65cc4c0b6cf9c56e2a2d801df1b99dc933db9991
pre,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\runtime\vmrp_win32\fs\mythroad,gwy\sdk_key.dat,15,1784086101,65cc4c0b6cf9c56e2a2d801df1b99dc933db9991
pre,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\runtime\vmrp_win32\wasm\dist\fs\mythroad,sdk_key.dat,15,1784086101,65cc4c0b6cf9c56e2a2d801df1b99dc933db9991
pre,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\runtime\vmrp_win32\wasm\dist\fs\mythroad,gwy\sdk_key.dat,15,1784086101,65cc4c0b6cf9c56e2a2d801df1b99dc933db9991
